ROUTE ID,DIRECTION,TRIP ID,TRAIN ID,UNIX DATETIME,DATE TIME,STOP ID,STOP NAME,UPDATE TYPE
Q,N,064550_Q..N16R,1Q 1045+ STL/962,1709049672,2024-02-27 11:01:12,D33N,Avenue J,4
Q,N,062950_Q..N16R,1Q 1029+ STL/962,1709049672,2024-02-27 11:01:12,D24N,Atlantic Av - Barclays Ctr,4
Q,N,065100_Q..N16R,1Q 1051 STL/962,1709049672,2024-02-27 11:01:12,D37N,Avenue U,4
Q,N,063750_Q..N16R,1Q 1037+ STL/962,1709049695,2024-02-27 11:01:35,D29N,Beverley Rd,4
Q,N,059750_Q..N16R,1Q 0957+ STL/962,1709049695,2024-02-27 11:01:35,Q04N,86 St,4
Q,N,063750_Q..N16R,1Q 1037+ STL/962,1709049752,2024-02-27 11:02:32,D28N,Church Av,4
Q,N,064550_Q..N16R,1Q 1045+ STL/962,1709049756,2024-02-27 11:02:36,D32N,Avenue H,4
Q,N,066100_Q..N16R,1Q 1101 STL/962,1709049780,2024-02-27 11:03:00,D42N,W 8 St - NY Aquarium,4
Q,N,060550_Q..N16R,1Q 1005+ STL/962,1709049780,2024-02-27 11:03:00,Q03N,72 St,4
Q,N,061100_Q..N16R,1Q 1011 STL/962,1709049802,2024-02-27 11:03:22,R14N,57 St - 7 Av,4
Q,N,062950_Q..N16R,1Q 1029+ STL/962,1709049802,2024-02-27 11:03:22,R30N,DeKalb Av,4
Q,N,065100_Q..N16R,1Q 1051 STL/962,1709049803,2024-02-27 11:03:23,D35N,Kings Hwy,4
Q,N,063750_Q..N16R,1Q 1037+ STL/962,1709049852,2024-02-27 11:04:12,D27N,Parkside Av,4
Q,N,064550_Q..N16R,1Q 1045+ STL/962,1709049852,2024-02-27 11:04:12,D31N,Newkirk Plaza,4
Q,N,062100_Q..N16R,1Q 1021 STL/962,1709049852,2024-02-27 11:04:12,Q01N,Canal St,4
Q,N,065100_Q..N16R,1Q 1051 STL/962,1709049876,2024-02-27 11:04:36,D34N,Avenue M,4
Q,N,060550_Q..N16R,1Q 1005+ STL/962,1709049887,2024-02-27 11:04:47,Q04N,86 St,4
Q,N,066100_Q..N16R,1Q 1101 STL/962,1709049912,2024-02-27 11:05:12,D41N,Ocean Pkwy,4
Q,N,064550_Q..N16R,1Q 1045+ STL/962,1709049935,2024-02-27 11:05:35,D30N,Cortelyou Rd,4
Q,N,061100_Q..N16R,1Q 1011 STL/962,1709049947,2024-02-27 11:05:47,B08N,Lexington Av/63 St,4
Q,N,063750_Q..N16R,1Q 1037+ STL/962,1709049947,2024-02-27 11:05:47,D26N,Prospect Park,4
Q,N,060550_Q..N16R,1Q 1005+ STL/962,1709049987,2024-02-27 11:06:27,Q05N,96 St,4
Q,N,064550_Q..N16R,1Q 1045+ STL/962,1709050020,2024-02-27 11:07:00,D29N,Beverley Rd,4
Q,N,066100_Q..N16R,1Q 1101 STL/962,1709050042,2024-02-27 11:07:22,D40N,Brighton Beach,4
Q,N,065100_Q..N16R,1Q 1051 STL/962,1709050055,2024-02-27 11:07:35,D33N,Avenue J,4
Q,N,061100_Q..N16R,1Q 1011 STL/962,1709050067,2024-02-27 11:07:47,Q03N,72 St,4
Q,N,064550_Q..N16R,1Q 1045+ STL/962,1709050092,2024-02-27 11:08:12,D28N,Church Av,4
Q,N,062100_Q..N16R,1Q 1021 STL/962,1709050115,2024-02-27 11:08:35,R20N,14 St - Union Sq,4
Q,N,063750_Q..N16R,1Q 1037+ STL/962,1709050128,2024-02-27 11:08:48,D25N,7 Av,4
Q,N,065100_Q..N16R,1Q 1051 STL/962,1709050152,2024-02-27 11:09:12,D32N,Avenue H,4
Q,N,064550_Q..N16R,1Q 1045+ STL/962,1709050175,2024-02-27 11:09:35,D27N,Parkside Av,4
Q,N,061100_Q..N16R,1Q 1011 STL/962,1709050175,2024-02-27 11:09:35,Q04N,86 St,4
Q,N,066100_Q..N16R,1Q 1101 STL/962,1709050175,2024-02-27 11:09:35,D39N,Sheepshead Bay,4
Q,N,066950_Q..N16R,1Q 1109+ STL/962,1709050176,2024-02-27 11:09:36,D42N,W 8 St - NY Aquarium,4
Q,N,065100_Q..N16R,1Q 1051 STL/962,1709050222,2024-02-27 11:10:22,D31N,Newkirk Plaza,4
Q,N,061100_Q..N16R,1Q 1011 STL/962,1709050223,2024-02-27 11:10:23,Q05N,96 St,4
Q,N,063750_Q..N16R,1Q 1037+ STL/962,1709050235,2024-02-27 11:10:35,D24N,Atlantic Av - Barclays Ctr,4
Q,N,062100_Q..N16R,1Q 1021 STL/962,1709050277,2024-02-27 11:11:17,R17N,34 St - Herald Sq,4
Q,N,066100_Q..N16R,1Q 1101 STL/962,1709050282,2024-02-27 11:11:22,D38N,Neck Rd,4
Q,N,062950_Q..N16R,1Q 1029+ STL/962,1709050282,2024-02-27 11:11:22,Q01N,Canal St,4
Q,N,066950_Q..N16R,1Q 1109+ STL/962,1709050296,2024-02-27 11:11:36,D41N,Ocean Pkwy,4
Q,N,065100_Q..N16R,1Q 1051 STL/962,1709050332,2024-02-27 11:12:12,D30N,Cortelyou Rd,4
Q,N,064550_Q..N16R,1Q 1045+ STL/962,1709050332,2024-02-27 11:12:12,D26N,Prospect Park,4
Q,N,066100_Q..N16R,1Q 1101 STL/962,1709050392,2024-02-27 11:13:12,D37N,Avenue U,4
Q,N,063750_Q..N16R,1Q 1037+ STL/962,1709050392,2024-02-27 11:13:12,R30N,DeKalb Av,4
Q,N,065100_Q..N16R,1Q 1051 STL/962,1709050392,2024-02-27 11:13:12,D29N,Beverley Rd,4
Q,N,062100_Q..N16R,1Q 1021 STL/962,1709050415,2024-02-27 11:13:35,R16N,Times Sq - 42 St,4
Q,N,066950_Q..N16R,1Q 1109+ STL/962,1709050452,2024-02-27 11:14:12,D40N,Brighton Beach,4
Q,N,065100_Q..N16R,1Q 1051 STL/962,1709050462,2024-02-27 11:14:22,D28N,Church Av,4
Q,N,066100_Q..N16R,1Q 1101 STL/962,1709050522,2024-02-27 11:15:22,D35N,Kings Hwy,4
Q,N,062950_Q..N16R,1Q 1029+ STL/962,1709050522,2024-02-27 11:15:22,R20N,14 St - Union Sq,4
